Sta,DIS,TEM,SAL,PE,PP,PS,PA
Sta.1_0m,1.08,10.033,30.112,0.33,0.67,0.33,0.33
Sta.1_bottom,1.08,6.603,33.492,0.25,0.33,0.17,0.17
Sta.2_0m,2.18,10.575,30.836,0.58,0.92,0.08,0
Sta.2_bottom,2.18,6.694,33.503,0.33,0.58,0.08,0.17
Sta.3_0m,3.11,10,31.94,0.17,1.17,0.25,0.58
Sta.3_10m,3.11,7.049,33.583,0.42,1.17,0.25,0.25
Sta.3_bottom,3.11,6.956,33.584,0.17,0.25,0.17,0
Sta.4_0m,5.98,8.839,32.944,0.42,0.42,0.33,0
Sta.5_0m,7.6,9.352,32.165,0.25,0.83,0.17,0.25
Sta.6_0m,3.7,9.715,31.33,0.83,1.33,0.42,0.5
Sta.6_10m,3.7,6.609,33.484,0.33,0.33,0.5,0.33
Sta.6_bottom,3.7,6.298,33.503,0.17,0.92,0.67,0.42
Sta.7_0m,2.4,9.708,31.47,0.58,2.08,0.33,0.08
Sta.7_bottom,2.4,6.411,33.462,0,0.83,0.33,0
Sta.8_0m,1.9,10.495,31.317,0.33,1.25,0.08,0.33
Sta.8_bottom,1.9,7.13,33.414,0.08,1.58,0.25,0.08
